Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Cepheus,DE,353,20,91.97.107.56,host-091-097-107-056.ewe-ip-backbone.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-10-31,EWETEL Cloppenburger Strasse 310- DE,9145,1510,[2a06:8180:0:110::20]:9001
dienet,PL,353,219,188.121.17.172,host-17-172.internetunion.pl,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2017-01-02,INTERNETUNION1 - PL,49242,1120,None
torin,DE,353,111,188.194.60.30,ipbcc23c1e.dynamic.kabel-deutschland.de,65533,65532,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-09-14,KABELDEUTSCHLAND-AS - DE,31334,1540,None
bechangeuwant3,RU,354,63,109.173.76.248,broadband-109-173-76-248.moscow.rt.ru,119,143,0,0,1,0,0,0,1,1,1,Tor 0.2.5.12 on Linux,0,0,2017-01-06,NCNET-AS - RU,42610,2650,None
ididnteditheconfig,RU,354,109,185.76.145.109,185.76.145.109,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2015-10-21,ASN-RUCENTER-HOSTING - RU,25535,1340,None
Sykotik02,US,354,369,199.189.62.251,199.189.62.251,4000,4001,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2017-01-17,NYINTERNET - The New York Internet Company- US,11403,1500,None
Unnamed,NL,354,466,86.86.173.62,ip5656ad3e.adsl-surfen.hetnet.nl,15020,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-04-17,KPN This macro reflects our filtering-policy on- NL,1136,1640,None
Unnamed,DE,355,146,78.46.203.18,pmvd.me,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2016-09-25,HETZNER-AS - DE,24940,1640,None
blackpinguinDE,DE,356,18,46.59.208.236,port-53315.pppoe.wtnet.de,60002,60001,0,0,1,0,0,0,1,1,1,Tor 0.2.9.9 on Linux,0,0,2014-10-30,WTNET-AS - DE,15943,1530,None
chronodd,DE,356,885,88.198.194.89,axolant.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2013-01-04,HETZNER-AS - DE,24940,1480,None
